"","voted_for","gender","education"
"1","Trump","Male","2-year"
"2","Biden","Female","4-year"
"3","Biden","Female","4-year"
"4","Trump","Male","Some college"
"5","Trump","Female","Some college"
"6","Trump","Female","High school graduate"
"7","Biden","Female","4-year"
"8","Biden","Female","4-year"
"9","Biden","Female","4-year"
"10","Biden","Male","Some college"
"11","Biden","Female","2-year"
"12","Trump","Male","Some college"
"13","Trump","Male","2-year"
"14","Trump","Female","2-year"
"15","Biden","Male","4-year"
"16","Biden","Female","Post-grad"
"17","Biden","Male","4-year"
"18","Biden","Female","4-year"
"19","Trump","Female","Some college"
"20","Biden","Female","Some college"
"21","Biden","Female","Post-grad"
"22","Biden","Female","Post-grad"
"23","Biden","Female","Some college"
"24","Trump","Female","High school graduate"
"25","Trump","Male","Some college"
"26","Biden","Male","4-year"
"27","Biden","Female","2-year"
"28","Trump","Male","High school graduate"
"29","Trump","Female","4-year"
"30","Biden","Female","Some college"
"31","Trump","Male","2-year"
"32","Biden","Female","Post-grad"
"33","Trump","Male","2-year"
"34","Biden","Female","Some college"
"35","Trump","Female","Post-grad"
"36","Trump","Male","Post-grad"
"37","Biden","Female","Post-grad"
"38","Biden","Female","Post-grad"
"39","Biden","Female","Post-grad"
"40","Biden","Female","Post-grad"
"41","Trump","Female","4-year"
"42","Trump","Male","High school graduate"
"43","Biden","Female","2-year"
"44","Trump","Male","Post-grad"
"45","Biden","Female","4-year"
"46","Trump","Female","4-year"
"47","Biden","Male","Post-grad"
"48","Trump","Male","4-year"
"49","Biden","Female","High school graduate"
"50","Biden","Female","Some college"
"51","Biden","Female","4-year"
"52","Trump","Female","High school graduate"
"53","Biden","Female","4-year"
"54","Trump","Male","Post-grad"
"55","Biden","Male","Post-grad"
"56","Trump","Male","2-year"
"57","Biden","Female","Post-grad"
"58","Trump","Female","2-year"
"59","Trump","Female","Post-grad"
"60","Trump","Female","Some college"
"61","Biden","Female","Post-grad"
"62","Trump","Female","2-year"
"63","Trump","Female","4-year"
"64","Biden","Male","Post-grad"
"65","Trump","Female","Some college"
"66","Biden","Male","2-year"
"67","Biden","Female","Some college"
"68","Biden","Male","Some college"
"69","Trump","Male","Post-grad"
"70","Trump","Female","Some college"
"71","Trump","Female","2-year"
"72","Biden","Female","Post-grad"
"73","Trump","Male","Some college"
"74","Biden","Male","4-year"
"75","Biden","Female","4-year"
"76","Biden","Female","Some college"
"77","Trump","Female","Post-grad"
"78","Trump","Female","4-year"
"79","Biden","Female","High school graduate"
"80","Trump","Female","High school graduate"
"81","Biden","Female","High school graduate"
"82","Trump","Female","High school graduate"
"83","Trump","Male","4-year"
"84","Biden","Male","Some college"
"85","Biden","Female","Post-grad"
"86","Trump","Male","4-year"
"87","Biden","Female","Some college"
"88","Biden","Male","Post-grad"
"89","Trump","Male","2-year"
"90","Trump","Male","Post-grad"
"91","Trump","Male","4-year"
"92","Biden","Male","4-year"
"93","Biden","Female","High school graduate"
"94","Biden","Female","4-year"
"95","Trump","Male","Post-grad"
"96","Biden","Female","4-year"
"97","Trump","Female","Some college"
"98","Biden","Female","Some college"
"99","Trump","Female","4-year"
"100","Biden","Female","Some college"
"101","Biden","Female","Post-grad"
"102","Trump","Male","High school graduate"
"103","Biden","Female","4-year"
"104","Biden","Male","2-year"
"105","Biden","Female","Post-grad"
"106","Biden","Male","4-year"
"107","Trump","Female","Some college"
"108","Biden","Male","High school graduate"
"109","Trump","Female","Post-grad"
"110","Biden","Male","Post-grad"
"111","Trump","Female","High school graduate"
"112","Biden","Male","4-year"
"113","Trump","Female","4-year"
"114","Biden","Female","Some college"
"115","Trump","Female","2-year"
"116","Trump","Male","4-year"
"117","Biden","Male","Post-grad"
"118","Biden","Male","Some college"
"119","Trump","Male","Some college"
"120","Trump","Male","4-year"
"121","Biden","Male","Post-grad"
"122","Biden","Female","Post-grad"
"123","Biden","Female","Post-grad"
"124","Trump","Male","Some college"
"125","Trump","Male","4-year"
"126","Biden","Female","4-year"
"127","Biden","Female","High school graduate"
"128","Biden","Female","Post-grad"
"129","Trump","Female","Some college"
"130","Biden","Male","Some college"
"131","Biden","Female","4-year"
"132","Trump","Female","2-year"
"133","Biden","Female","Post-grad"
"134","Biden","Male","High school graduate"
"135","Trump","Female","High school graduate"
"136","Trump","Female","Some college"
"137","Biden","Male","4-year"
"138","Trump","Male","Some college"
"139","Biden","Female","High school graduate"
"140","Biden","Male","Post-grad"
"141","Biden","Male","Some college"
"142","Trump","Male","High school graduate"
"143","Trump","Female","Some college"
"144","Biden","Male","4-year"
"145","Biden","Female","4-year"
"146","Trump","Female","4-year"
"147","Biden","Female","4-year"
"148","Biden","Female","4-year"
"149","Biden","Female","4-year"
"150","Trump","Female","4-year"
"151","Biden","Female","4-year"
"152","Biden","Female","4-year"
"153","Biden","Male","Post-grad"
"154","Biden","Male","Post-grad"
"155","Biden","Female","4-year"
"156","Biden","Female","Post-grad"
"157","Biden","Male","4-year"
"158","Trump","Female","4-year"
"159","Biden","Female","4-year"
"160","Biden","Female","Post-grad"
"161","Trump","Male","4-year"
"162","Biden","Male","Post-grad"
"163","Biden","Female","Post-grad"
"164","Biden","Female","Post-grad"
"165","Biden","Male","4-year"
"166","Biden","Female","4-year"
"167","Trump","Male","4-year"
"168","Trump","Female","Post-grad"
"169","Trump","Male","Post-grad"
"170","Biden","Female","Some college"
"171","Biden","Male","Post-grad"
"172","Biden","Female","Post-grad"
"173","Biden","Female","4-year"
"174","Trump","Female","4-year"
"175","Biden","Male","Post-grad"
